# docs/pointer-groundtruth.tsv — THE LABELLED GROUND TRUTH for the bare-pointer class.
#
# WHAT THIS IS. Every `<token> in <target>` construction in paper-III.md and paper-IV.md at
# revision 07cd47e whose TARGET is BARE under wt160's named-target tests N1-N6 — 341 rows, of
# 444 constructions in all (282 here from Paper III, 59 from Paper IV). Those are REVIEW-028
# section 3's and section 6.4's numbers, reproduced row for row by scripts/wt166_pointer_groundtruth.py,
# which imports wt160's own _flatten, _target_window and _is_named rather than re-implementing them.
#
# WHY IT EXISTS. REVIEW-028 established that the count wt160 and wt163 return is a property of
# the VERB LIST. Its section 8 falsifier 5 named the one attack that could still rescue the
# enumeration — carve out a defensible sub-class of bare targets STRUCTURALLY, with no verb list —
# and observed that nobody had run it because nobody had the labels. Without labels there is no
# truth set, so no proposed detector can be scored at all. These are the labels.
#
# HOW IT WAS BUILT. All 341 rows were READ, in context, by wealthTensor-89. No verb list was
# consulted while labelling: a ground truth built with a word list cannot score a word list.
# The adjudication rule is REVIEW-028 section 3's, fixed before this reading and unchanged:
#
#   POINTER iff (a) the construction asserts that some content is LOCATED IN a document,
#   artefact, run or record — the reader is being asked to go there to check — AND (b) the
#   target as written carries no handle a reader could follow.
#
# Clause (b) holds for all 341 by construction, since N1-N6 are silent on every row. So the
# labelling decides clause (a) alone, 341 times.
#
# COLUMNS.  file · line · token · target · label · confidence · reason
#   (file, line, token, target) is the KEY. It is unique across all 341 rows and every component
#   is recomputed from 07cd47e, so the labels cannot drift from the corpus: wt166 REFUSES (exit 2)
#   if the recomputed key set differs from this file's by a single row.
#   `line` is the source line of the FLATTENED text's match, as wt160 reports it.
#   `confidence` is FIRM or SOFT. SOFT marks a row this session judges could defensibly go the
#   other way, and it is not decoration: wt166 scores every candidate test THREE times — against
#   the labels as written (PRIMARY, 15 pointers), against FIRM pointers only (STRICT, 11), and
#   against PRIMARY plus every SOFT NOT-POINTER (LOOSE, 51) — so no verdict in REVIEW-029 rests
#   on a judgement call. There are 36 SOFT NOT-POINTER rows.
#
# THE ONE ROW REVIEW-028 MISSED. `III 1261 are in the run logs` is a bare pointer under this rule
# and it is NOT among REVIEW-028 section 4's fourteen. Its verb is the COPULA. REVIEW-028's own
# vocabulary-free reading filtered the corpus's 264 tokens at step 2 by keeping "every token that
# could locate content in an artefact" — and `are` does not look like a locating verb even though
# it does the locating work. That is REVIEW-028 section 8 falsifier 1, fired, and it means the
# vocabulary-free reading had a covert vocabulary after all. See REVIEW-029 section 5.
#
# THE LABELS ARE AT 07cd47e AND DO NOT MOVE WHEN THE MANUSCRIPTS ARE REPAIRED. wt164 repaired
# four of these rows at HEAD and wt167 repairs a fifth; wt166 always reads 07cd47e, so a repair
# cannot silently invalidate the ground truth. That is deliberate.
file	line	token	target	label	confidence	reason
III	338	model	which reporting lag attenuates a physical signal will multiply a timeliness parameter	NOT-POINTER	FIRM	' in which' heads a relative clause; there is no target noun phrase
III	343	than	place of it	NOT-POINTER	FIRM	idiomatic: 'rather than in place of it'
III	348	anywhere	this paper	NOT-POINTER	SOFT	'anywhere in this paper' is self-referential to the document in hand; nothing external to open
III	366	down	1910 for the daughter activity of a radioactive decay chain (Bateman	NOT-POINTER	FIRM	temporal: 'written down in 1910', with the citation supplied immediately after
III	383	form	which **every systematic coefficient is a symmetric function of β and γ**	NOT-POINTER	FIRM	' in which' heads a relative clause
III	391	bites	pharmacokinetics and not in radiochemistry	NOT-POINTER	FIRM	'bites in pharmacokinetics' names a field — REVIEW-028 6.4's own example
III	391	not	radiochemistry	NOT-POINTER	FIRM	'not in radiochemistry' names a field
III	403	already	place does not rescue identification	NOT-POINTER	FIRM	idiomatic: 'already in place'
III	412	assumption	between implies an intermediate φ	NOT-POINTER	FIRM	idiomatic: 'every assumption in between'
III	457	one	which the books outrun the asset	NOT-POINTER	FIRM	' in which' heads a relative clause
III	470	boundary	quantities the design already declares	NOT-POINTER	FIRM	'boundary in quantities' states what the boundary is expressed in, a respect not a place
III	489	differing	observability and in nothing else	NOT-POINTER	FIRM	respect: 'differing in observability'
III	489	and	nothing else	NOT-POINTER	FIRM	respect: 'and in nothing else'
III	525	ordering	**11.5%** of them and exactly reverses it in **1.1%**	NOT-POINTER	FIRM	quantitative: 'in 11.5% of them'
III	526	it	**1.1%**	NOT-POINTER	FIRM	quantitative: 'in 1.1%'
III	533	drawn	quantities the design already declares	NOT-POINTER	FIRM	'drawn in quantities the design already declares' states the units of a boundary
III	536	logistic	log(leverage / budget	NOT-POINTER	FIRM	mathematical: 'a logistic in log(leverage / budget)'
III	542	edge	its own top rung	NOT-POINTER	FIRM	figurative: 'a knife edge in its own top rung'
III	549	than	eighty-seven years	NOT-POINTER	FIRM	temporal: 'no faster than in eighty-seven years'
III	553	measurable	the same direction	NOT-POINTER	FIRM	manner: 'measurable in the same direction'
III	555	delivered	rare jumps	NOT-POINTER	FIRM	manner: 'delivered in rare jumps'
III	573	rises	65.9% of them**	NOT-POINTER	FIRM	quantitative: 'rises in 65.9% of them'
III	590	registered	advance	NOT-POINTER	FIRM	temporal: 'registered in advance'
III	625	visible	the parameter sweep	POINTER	FIRM	offers 'the parameter sweep' as where the reason can be seen, and names no sweep; REVIEW-028 row 11, repaired by wt164
III	625	falls	φ at every δ	NOT-POINTER	FIRM	mathematical: 'lag falls in phi at every delta'
III	627	holds	**100%** of them	NOT-POINTER	FIRM	quantitative: 'holds in 100% of them'
III	630	holds	**66.2%** (2	NOT-POINTER	FIRM	quantitative: 'holds in 66.2%'
III	631	robust	that ratio rather than in the way a figure of 100% suggests	NOT-POINTER	FIRM	respect: 'robust in that ratio'
III	632	than	the way a figure of 100% suggests	NOT-POINTER	FIRM	manner: 'in the way a figure of 100% suggests'
III	638	change	physical value	NOT-POINTER	FIRM	'the change in physical value' is an of-relation naming a quantity
III	655	differ	construction and share an input	NOT-POINTER	FIRM	respect: 'differ in construction'
III	658	only	product with an asset-life parameter	NOT-POINTER	FIRM	mathematical: 'only in product with an asset-life parameter'
III	661	arbitrarily	practice	NOT-POINTER	FIRM	manner: 'differ arbitrarily in practice'
III	689	nothing	the series to recover it from	NOT-POINTER	FIRM	'nothing in the series' locates information in a data object under discussion, not a document to open
III	700	asset	it to carry one	NOT-POINTER	FIRM	'no capitalised asset in it' is about a model firm's balance sheet
III	701	recoverable	their own setting	NOT-POINTER	FIRM	'recoverable in their own setting' names a modelling context, not an artefact
III	706	conservatism	practice and makes no claim of the econometric kind	NOT-POINTER	FIRM	manner: 'detecting conservatism in practice'
III	709	counterpart	their model	NOT-POINTER	FIRM	'no counterpart in their model' locates a parameter in a model, not content in a document
III	729	visible	the theorem's own statement	NOT-POINTER	SOFT	self-locating: the theorem is stated immediately above; REVIEW-028 marginal M1
III	736	differ	return by α − δ in every period	NOT-POINTER	FIRM	respect: 'differ in return by alpha - delta'
III	740	degeneracy	the unobserved physical scale	NOT-POINTER	FIRM	'a degeneracy in the unobserved physical scale' names what the degeneracy is in, a respect
III	757	laws	σ	NOT-POINTER	FIRM	mathematical: 'power laws in sigma'
III	758	visible	the mean by σ = 0.025	NOT-POINTER	FIRM	statistical: 'visible in the mean by sigma = 0.025' locates an effect in a statistic
III	761	holds	all nine is the sign	NOT-POINTER	FIRM	'holds in all nine' quantifies over nine settings named in the preceding sentence; wt163 disclosed exclusion
III	776	term	the estimating equation	NOT-POINTER	FIRM	'every term in the estimating equation' locates terms in a displayed equation, self-locating
III	784	requires	order to run at all	NOT-POINTER	FIRM	idiomatic: 'requires in order to run at all'
III	788	corner	which every term above is worst is a quiet asset whose book	NOT-POINTER	FIRM	' in which' heads a relative clause
III	794	than	sequence	NOT-POINTER	FIRM	manner: 'rather than in sequence'
III	823	is	question	NOT-POINTER	FIRM	idiomatic: 'is in question'
III	843	exogenous	the strong sense	NOT-POINTER	FIRM	respect: 'exogenous in the strong sense'
III	856	gap	the evidence	NOT-POINTER	FIRM	'a gap in the evidence' is a figure of speech about missing disclosure
III	876	and	the direction that favours *slow* decay	NOT-POINTER	FIRM	'in the direction that favours slow decay' names a sign, not a place
III	880	reason	econometrics	NOT-POINTER	FIRM	'the plainest reason in econometrics' names a discipline
III	918	sits	the gap over *s*+1 … *s*+*T*	NOT-POINTER	FIRM	'sits in the gap over s+1 ... s+T' is the model's own state variable and a time range
III	932	anywhere	the loop	NOT-POINTER	FIRM	'no closed form anywhere in the loop' locates absence in an algorithm, not a document
III	959	moves	both directions	NOT-POINTER	FIRM	'moves in both directions' names a sign
III	964	registered	advance from the standard reliability bound for a distribution that is new-better-	NOT-POINTER	FIRM	temporal: 'registered in advance'
III	965	than-used	expectation (Marshall and Proschan	NOT-POINTER	FIRM	'new-better-than-used in expectation' is a term of art with its citation attached
III	979	visible	the transform	NOT-POINTER	SOFT	self-locating: the transform is the displayed equation in the same paragraph; REVIEW-028 marginal M2
III	997	channels	advance and they oppose	NOT-POINTER	FIRM	temporal: 'named the two channels in advance'
III	1001	states	the table where it belongs	POINTER	FIRM	offers 'the table where it belongs' as where 4.4 now states something, and names no table; REVIEW-028 row 2
III	1004	match	the reported series	NOT-POINTER	FIRM	'sits 5e-4 from its own match in the reported series' is a numerical distance measured on a series
III	1033	trace	the series	NOT-POINTER	FIRM	'leave a trace in the series' locates a signal in a data object, not content in a document
III	1045	answer	one figure	NOT-POINTER	FIRM	'the whole answer in one figure' means a single number, not a plate to look up
III	1064	part	ten thousand the reported series is a better instrument for the shape	NOT-POINTER	FIRM	quantitative: 'at one part in ten thousand'
III	1073	world	which this model is well-posed from one in which it has no	NOT-POINTER	FIRM	' in which' heads a relative clause
III	1074	one	which it has no steady state at all	NOT-POINTER	FIRM	' in which' heads a relative clause
III	1075	sense	which [1.135	NOT-POINTER	FIRM	'the sense in which' heads a relative clause
III	1081	not	tension	NOT-POINTER	FIRM	idiomatic: 'are not in tension'
III	1088	monotone	the observation window	NOT-POINTER	FIRM	mathematical: 'not monotone in the observation window'
III	1093	meagre	it and their approximation error "cannot	NOT-POINTER	FIRM	topological: 'meagre in it' is a technical predicate about a lag space, with its citation attached
III	1098	live	this paper and they are three different quantities	NOT-POINTER	SOFT	'three recognition rates now live in this paper' is self-referential to the document in hand
III	1111	parts	ten thousand** at a twenty-year life and part company at a three-year	NOT-POINTER	FIRM	quantitative: 'agree to five parts in ten thousand'
III	1112	move	opposite directions from α̂	NOT-POINTER	FIRM	'move in opposite directions' names a sign
III	1127	part	ten thousand per quarter that audited financial statements do not carry for	NOT-POINTER	FIRM	quantitative: 'one part in ten thousand per quarter'
III	1134	registered	advance were wrong	NOT-POINTER	FIRM	temporal: 'registered in advance'
III	1136	distributions	lag space and from the classical ill-conditioning of exponential sums	NOT-POINTER	FIRM	'rational lag distributions in lag space' locates objects in a mathematical space
III	1138	parts	ten thousand with rates bearing no relation to the truth (Lanczos	NOT-POINTER	FIRM	quantitative: 'to a few parts in ten thousand'
III	1141	do	the limit	NOT-POINTER	FIRM	'what a family can do in the limit' is an asymptotic regime
III	1174	predicted	advance to be monotone in lag	NOT-POINTER	FIRM	temporal: 'predicted in advance'
III	1174	monotone	lag	NOT-POINTER	FIRM	mathematical: 'monotone in lag'
III	1183	event	this test is a recognised impairment	NOT-POINTER	FIRM	'every event in this test' quantifies over the test's own sample
III	1195	shipped	the same commit (d655501	NOT-POINTER	SOFT	substantively named by commit SHA (d655501) inside the window's own parenthesis; REVIEW-028 marginal M7, an N1-N6 gap
III	1211	null	both universes	NOT-POINTER	FIRM	'returned a null in both universes' names the two samples the test ran on
III	1216	declared	the registration before the pilot was run	POINTER	FIRM	offers 'the registration' as where the universe was declared and names no registration; REVIEW-028 row 12, repaired by wt164
III	1220	effect	either direction	NOT-POINTER	FIRM	'an effect in either direction' names a sign
III	1234	stating	advance that there would be no third instrument	NOT-POINTER	FIRM	temporal: 'stating in advance'
III	1261	are	the run logs	POINTER	FIRM	offers 'the run logs' as where four sensitivity analyses sit and names no log; a bare pointer REVIEW-028's fourteen does NOT contain — its verb is the copula 'are'
III	1277	four	the replication and the second-least in the pilot	NOT-POINTER	FIRM	'least censoring of the four in the replication' names a sample, not a document
III	1278	second-least	the pilot	NOT-POINTER	FIRM	'second-least in the pilot' names a sample
III	1287	spread	both universes	NOT-POINTER	FIRM	'unit spread in both universes' names the two samples
III	1299	probability	retail and with certainty in computer services	NOT-POINTER	FIRM	quantitative/sectoral: 'with 95% probability in retail'
III	1300	certainty	computer services	NOT-POINTER	FIRM	sectoral: 'with certainty in computer services' names a sample sector
III	1308	error	the onset attenuates a true gradient	NOT-POINTER	FIRM	'measurement error in the onset' names where an error sits in a variable
III	1323	effect	the units the test measured	NOT-POINTER	FIRM	'named that effect in the units the test measured' names a unit system, a respect
III	1328	ordering	both universes	NOT-POINTER	FIRM	'ordering in both universes' names the two samples
III	1330	lag	both universes	NOT-POINTER	FIRM	'the longest median lag in both universes' names the two samples
III	1333	appears	5.7% of firm-clustered resamples in the pilot and 5.8% in the replication**	NOT-POINTER	FIRM	quantitative: 'appears in 5.7% of firm-clustered resamples'
III	1333	resamples	the pilot and 5.8% in the replication**	NOT-POINTER	FIRM	quantitative: 'in the pilot and 5.8% in the replication'
III	1348	identical	the pilot and censoring at 7.7% against 7.8%	NOT-POINTER	FIRM	'three of four tier counts identical in the pilot' compares samples
III	1354	agreement	total *n* with no tier moving by more than 20%	NOT-POINTER	FIRM	'95% agreement in total n' names the respect the agreement is measured in
III	1366	lands	the same regime	NOT-POINTER	FIRM	'every cut lands in the same regime' names a parameter region
III	1369	Weibull	Nakagawa and Osaki's (1975	NOT-POINTER	FIRM	'a discrete Weibull in Nakagawa and Osaki's (1975) parameterisation' names a parameterisation, with the citation attached
III	1390	recognition	one class does not force recognition in another	NOT-POINTER	FIRM	'recognition in one class' locates an event in an asset class, not in a document
III	1390	recognition	another	NOT-POINTER	FIRM	'recognition in another' locates an event in an asset class
III	1392	land		NOT-POINTER	FIRM	'which quarters they land in' — stranded preposition, the target window is empty
III	1402	intangibles	retail (5.83×	NOT-POINTER	FIRM	sectoral: 'in retail (5.83x)'
III	1403	intangibles	computer services (2.22×	NOT-POINTER	FIRM	sectoral: 'in computer services (2.22x)'
III	1428	sign	either sector	NOT-POINTER	FIRM	'no consistent sign in either sector' names the two samples
III	1444	appear	none of the 1	NOT-POINTER	FIRM	'appear in none of the 1,925 firm-years' is a count over a sample
III	1455	filing	2013–2024	NOT-POINTER	FIRM	temporal: 'registrants filing in 2013-2024'
III	1460	held	place by a test suite	NOT-POINTER	FIRM	idiomatic: 'held in place by a test suite'; wt163 disclosed exclusion
III	1510	quantity	the model was matched to a quantity in the world that shares	NOT-POINTER	FIRM	'a quantity in the model' locates a variable in a model
III	1510	quantity	the world that shares its name and not its meaning	NOT-POINTER	FIRM	'a quantity in the world' locates a variable in the world
III	1537	unbalanced	that direction	NOT-POINTER	FIRM	'unbalanced in that direction' names a sign
III	1551	given	the two rows above	POINTER	SOFT	offers 'the two rows above' as where a value is given; self-locating within the same table, which makes it the softest of REVIEW-028's ten (row 3)
III	1558	recovered	**1.9%**	NOT-POINTER	FIRM	quantitative: 'recovered in 1.9%'
III	1559	held	**100%**	NOT-POINTER	FIRM	quantitative: 'held in 100%'; wt163 disclosed exclusion
III	1561	edge	its top rung**	NOT-POINTER	FIRM	figurative: 'a knife edge in its top rung'
III	1565	rises	**0.659** of admissible pairs [**0.621**	NOT-POINTER	FIRM	quantitative: 'rises in 0.659 of admissible pairs'
III	1568	form	the loop	NOT-POINTER	FIRM	'no closed form in the loop' locates absence in an algorithm
III	1572	land		NOT-POINTER	FIRM	'which quarters each class's impairments land in' — stranded preposition, empty window
III	1580	trace	the reported series**	NOT-POINTER	FIRM	'leaves a trace in the reported series' locates a signal in a data object
III	1581	invisible	the reported series**	NOT-POINTER	FIRM	'invisible in the reported series' locates a signal in a data object
III	1587	visible	entity-level filings**	NOT-POINTER	FIRM	'not visible in entity-level filings' names a class of filings as a data source, not one artefact to open
III	1588	fixed	advance so that the sign could not be chosen afterwards	NOT-POINTER	FIRM	temporal: 'fixed in advance'
III	1589	trigger	one sentence	NOT-POINTER	FIRM	'name a unit and a trigger in one sentence' is a co-occurrence criterion over filings
III	1595	check	that row was written to confirm it and refused	NOT-POINTER	SOFT	'the check in that row' is self-locating: 'that row' is the table row immediately at hand
III	1607	placed	the body	NOT-POINTER	SOFT	self-locating: 'placed in the body' is this paper's own division
III	1608	given	the companion papers of this programme	POINTER	FIRM	offers 'the companion papers of this programme' as where a reason is given and names no paper; REVIEW-028 row 4
III	1623	here	full rather than quietly replaced	NOT-POINTER	FIRM	manner: 'retained here in full'
III	1629	belongs	this section	NOT-POINTER	SOFT	self-locating: 'belongs in this section' is the section in hand
III	1632	and	the abstract	NOT-POINTER	SOFT	self-locating: 'in the body, and in the abstract' are this paper's own divisions
III	1635	registered	advance	NOT-POINTER	FIRM	temporal: 'registered in advance'
III	1667	efficient-markets	its plainest form	NOT-POINTER	FIRM	'efficient-markets in its plainest form' names a version of an argument
III	1677	not	competition	NOT-POINTER	FIRM	idiomatic: 'not in competition'
III	1681	anywhere	this work	NOT-POINTER	SOFT	'not measured anywhere in this work' is self-referential to the document in hand
III	1689	residue	the world**	NOT-POINTER	FIRM	'identify that residue in the world' names the world, not a document
III	1696	argument	this section	NOT-POINTER	SOFT	self-locating: 'the argument in this section' is the section in hand
III	1704	everything	this paper	NOT-POINTER	SOFT	'survives everything in this paper' is self-referential to the document in hand
III	1714	paper	this corpus	NOT-POINTER	FIRM	'a later paper in this corpus' places a paper in a corpus; the reading list it defers to is backticked in the same sentence
III	1716	for	the paper that introduces a theorem is a framing that will be	NOT-POINTER	FIRM	'argued for in the paper that introduces a theorem' is a generic hypothetical paper, not one to open
III	1765	heterogeneity	entropy rates across industries	NOT-POINTER	FIRM	'heterogeneity in entropy rates' names the respect heterogeneity is measured in
III	1776	recognition	one asset class does not force recognition in another	NOT-POINTER	FIRM	'recognition in one asset class' locates an event in an asset class
III	1777	recognition	another	NOT-POINTER	FIRM	'recognition in another' locates an event in an asset class
III	1781	it	both universes in the same direction	NOT-POINTER	FIRM	'rejects it in both universes' names the two samples
III	1781	universes	the same direction	NOT-POINTER	FIRM	'in the same direction' names a sign
III	1791	fired	**once in the 644 firm-years of the mandated window and not once	NOT-POINTER	FIRM	quantitative: 'once in the 644 firm-years'; the result document is backticked in the same sentence
III	1791	once	the 644 firm-years of the mandated window and not once in the	NOT-POINTER	FIRM	quantitative: 'not once in the 281 that took both charges'
III	1806	authority	the biophysical tradition this work draws on	NOT-POINTER	FIRM	'the most-cited authority in the biophysical tradition' names a tradition, not an artefact
III	1815	not	question	NOT-POINTER	FIRM	idiomatic: 'not in question'
III	1826	liquidated	the bust	NOT-POINTER	FIRM	temporal/economic: 'liquidated in the bust' names a phase of a cycle
III	1830	describe	their own vocabulary	NOT-POINTER	FIRM	'describe in their own vocabulary' names a manner of description
III	1857	acts	shareholders' interest	NOT-POINTER	FIRM	'acts in shareholders' interest' is idiomatic, inside a quotation
III	1866	down	2004	NOT-POINTER	FIRM	temporal: 'written down in 2004'
III	1879	reinvested		NOT-POINTER	FIRM	'neither depreciates nor is reinvested in' — stranded preposition, empty window
III	1891	concentrates	the least reliable accrual components	NOT-POINTER	FIRM	'concentrates in the least reliable accrual components' locates an effect in a data partition
III	1893	absent	non-current operating *liability* accruals	NOT-POINTER	FIRM	'absent in non-current operating liability accruals' locates absence in a data partition
III	1899	firm-years	1950 to 27% in 2019	NOT-POINTER	FIRM	temporal: 'firm-years in 1950 to 27% in 2019'
III	1902	particularly	the period after Sarbanes–Oxley	NOT-POINTER	FIRM	temporal: 'in the period after Sarbanes-Oxley'
III	1903	dissipation	their own abstract	NOT-POINTER	SOFT	'report the same dissipation in their own abstract' points at a cited work's abstract; the work is named in the same sentence, so the reader has a handle
III	1932	and	prose	NOT-POINTER	FIRM	manner: 'nineteen years earlier and in prose'
III	1933	prices	the short term	NOT-POINTER	FIRM	temporal, inside a quotation: 'in the short term'
III	1956	volume	which she and her critics argue it out directly is listed beside	NOT-POINTER	FIRM	'the volume in which she and her critics argue' heads a relative clause and the volume is listed in the entry
III	1958	are	the room	NOT-POINTER	FIRM	figurative: 'when its objections are in the room'
III	1974	quotes	prose	NOT-POINTER	FIRM	manner: 'quotes in prose'
III	1975	or	prose	NOT-POINTER	FIRM	manner: 'tabulated or in prose'
III	2002	claims	place	NOT-POINTER	FIRM	idiomatic: 'hold this paper's claims in place'
III	2004	paper	it	NOT-POINTER	FIRM	'any one paper in it' places a paper in the repository, a partitive
III	2017	CPU	seconds	NOT-POINTER	FIRM	temporal: 'regenerates on a commodity CPU in seconds'
III	2018	steps	double precision	NOT-POINTER	FIRM	'gradient steps in double precision' names an arithmetic mode
III	2020	completed	**76 seconds on two 2.8 GHz cores**	NOT-POINTER	FIRM	temporal: 'completed in 76 seconds on two 2.8 GHz cores'
III	2029	are	the same directory	NOT-POINTER	SOFT	'the same directory' is anaphoric to the backticked registration path in the preceding clause, so a reader has a handle; formally bare only because wt160's window stops at the clause boundary
III	2046	Charges	that file run **2012 Q2 – 2026 Q2** and onsets **2010 Q1	NOT-POINTER	FIRM	temporal: 'charges in that file run 2012 Q2 - 2026 Q2'
III	2054	put	its place is the label-permutation control printed in the same logs	NOT-POINTER	FIRM	idiomatic: 'put in its place'; the pointer work in this sentence is row 203's
III	2055	printed	the same logs	POINTER	FIRM	offers 'the same logs' as where the control is printed and names no log; REVIEW-028 row 13, repaired by wt164
III	2076	retained	full	NOT-POINTER	FIRM	manner: 'retained in full'
III	2106	appears	every growth model from Solow forward	NOT-POINTER	FIRM	'appears in every growth model from Solow forward' quantifies over a literature
III	2140	regime	which P2 fails is committed	NOT-POINTER	FIRM	'the regime in which P2 fails' heads a relative clause
III	2142	demonstrated	code	NOT-POINTER	FIRM	'not demonstrated in code' names a medium of demonstration, not a file to open
III	2147	regime	which "no store is inert" is simply not true	NOT-POINTER	FIRM	'the regime in which' heads a relative clause
